order_id,config,eps,n_subgoals,n_pass_first_check,admissibility,completion,score,inspect_sum
normal6,binary,0.25,3,1,0.3333333333333333,1,13,1
normal7,binary,0.25,2,0,0.0,1,9,1
normal8,binary,0.25,2,1,0.5,1,9,1
normal9,binary,0.25,8,3,0.375,1,34,3
priority1,binary,0.25,3,0,0.0,1,14,1
priority10,binary,0.25,6,3,0.5,1,26,3
priority2,binary,0.25,8,3,0.375,1,34,7
priority3,binary,0.25,6,3,0.5,1,26,3
priority4,binary,0.25,5,2,0.4,0,13,21
priority5,binary,0.25,4,2,0.5,1,18,1
priority6,binary,0.25,8,3,0.375,1,34,3
priority7,binary,0.25,5,2,0.4,1,22,1
priority8,binary,0.25,7,3,0.42857142857142855,0,0,0
priority9,binary,0.25,8,1,0.125,1,34,4
dropped_part1,binary,0.5,3,1,0.333333333333,0,4,5
dropped_part10,binary,0.5,5,1,0.2,0,5,17
dropped_part2,binary,0.5,2,0,0,0,4,1
dropped_part3,binary,0.5,4,1,0.25,0,4,6
dropped_part4,binary,0.5,4,0,0,0,10,20
dropped_part5,binary,0.5,4,1,0.25,0,4,1
dropped_part6,binary,0.5,3,0,0,0,0,25
dropped_part7,binary,0.5,2,1,0.5,0,4,9
dropped_part8,binary,0.5,3,0,0,0,1,4
dropped_part9,binary,0.5,8,2,0.25,0,4,3
faulty_part1,binary,0.5,2,0,0,0,4,5
faulty_part10,binary,0.5,3,0,0,0,9,2
faulty_part2,binary,0.5,3,1,0.333333333333,0,0,73
faulty_part3,binary,0.5,4,0,0,0,10,7
faulty_part4,binary,0.5,4,0,0,0,0,65
faulty_part5,binary,0.5,4,1,0.25,0,4,4
faulty_part6,binary,0.5,4,0,0,0,10,9
faulty_part7,binary,0.5,2,0,0,0,0,76
faulty_part8,binary,0.5,2,1,0.5,0,4,4
faulty_part9,binary,0.5,2,0,0,0,5,1
mix_challenges1,binary,0.5,3,0,0,0,1,20
mix_challenges10,binary,0.5,3,1,0.333333333333,0,4,8
mix_challenges2,binary,0.5,3,1,0.333333333333,0,1,6
mix_challenges3,binary,0.5,3,1,0.333333333333,0,1,12
mix_challenges4,binary,0.5,3,1,0.333333333333,0,1,12
mix_challenges5,binary,0.5,3,0,0,0,4,4
mix_challenges6,binary,0.5,3,0,0,0,0,95
mix_challenges7,binary,0.5,3,0,0,0,5,9
mix_challenges8,binary,0.5,5,2,0.4,0,1,8
mix_challenges9,binary,0.5,4,0,0,0,1,5
normal1,binary,0.5,3,1,0.3333333333333333,1,13,1
normal10,binary,0.5,4,0,0.0,1,18,1
normal2,binary,0.5,3,1,0.3333333333333333,1,13,1
normal3,binary,0.5,3,0,0.0,1,13,3
normal4,binary,0.5,4,0,0.0,1,17,1
normal5,binary,0.5,2,0,0.0,1,9,1
normal6,binary,0.5,3,1,0.3333333333333333,1,13,1
normal7,binary,0.5,2,0,0.0,1,9,1
normal8,binary,0.5,2,1,0.5,1,9,1
normal9,binary,0.5,8,3,0.375,1,34,12
priority1,binary,0.5,3,2,0.6666666666666666,1,14,1
priority10,binary,0.5,6,2,0.3333333333333333,1,26,4
priority2,binary,0.5,8,0,0.0,0,4,10
priority3,binary,0.5,6,1,0.16666666666666666,1,26,13
priority4,binary,0.5,5,1,0.2,1,22,1
priority5,binary,0.5,4,0,0.0,1,18,1
priority6,binary,0.5,8,2,0.25,0,17,3
priority7,binary,0.5,5,1,0.2,1,22,1
priority8,binary,0.5,7,2,0.2857142857142857,1,30,3
priority9,binary,0.5,8,0,0.0,0,27,2
dropped_part1,binary,0.75,3,1,0.333333333333,0,7,7
dropped_part10,binary,0.75,5,0,0,0,5,7
dropped_part2,binary,0.75,2,0,0,0,4,2
dropped_part3,binary,0.75,4,1,0.25,0,10,5
dropped_part4,binary,0.75,4,0,0,0,4,2
dropped_part5,binary,0.75,4,0,0,0,1,2
dropped_part6,binary,0.75,3,0,0,0,0,25
dropped_part7,binary,0.75,2,0,0,0,4,7
dropped_part8,binary,0.75,3,0,0,0,1,6
dropped_part9,binary,0.75,8,3,0.375,0,0,28
faulty_part1,binary,0.75,2,0,0,0,4,1
faulty_part10,binary,0.75,3,0,0,0,10,5
faulty_part2,binary,0.75,3,0,0,0,7,10
faulty_part3,binary,0.75,4,0,0,0,4,5
faulty_part4,binary,0.75,4,0,0,0,0,58
faulty_part5,binary,0.75,4,1,0.25,0,10,3
faulty_part6,binary,0.75,4,0,0,0,10,8
faulty_part7,binary,0.75,2,0,0,0,4,3
faulty_part8,binary,0.75,2,0,0,0,4,8
faulty_part9,binary,0.75,2,0,0,0,5,4
mix_challenges1,binary,0.75,3,0,0,0,0,80
mix_challenges10,binary,0.75,3,1,0.333333333333,0,4,5
mix_challenges2,binary,0.75,3,1,0.333333333333,0,1,9
mix_challenges3,binary,0.75,3,1,0.333333333333,0,0,59
mix_challenges4,binary,0.75,3,1,0.333333333333,0,4,28
mix_challenges5,binary,0.75,3,0,0,0,4,3
mix_challenges6,binary,0.75,3,0,0,0,0,85
mix_challenges7,binary,0.75,3,0,0,0,1,3
mix_challenges8,binary,0.75,5,1,0.2,0,1,1
mix_challenges9,binary,0.75,4,0,0,0,0,71
normal1,binary,0.75,3,0,0.0,1,13,1
normal10,binary,0.75,4,1,0.25,1,18,3
normal2,binary,0.75,3,0,0.0,1,13,1
normal3,binary,0.75,3,1,0.3333333333333333,1,13,1
normal4,binary,0.75,4,1,0.25,1,17,1
normal5,binary,0.75,2,0,0.0,1,9,1
normal6,binary,0.75,3,0,0.0,1,13,3
normal7,binary,0.75,2,0,0.0,1,9,1
normal8,binary,0.75,2,0,0.0,1,9,1
normal9,binary,0.75,8,1,0.125,1,34,8
priority1,binary,0.75,3,1,0.3333333333333333,1,14,1
priority10,binary,0.75,6,1,0.16666666666666666,1,26,2
priority2,binary,0.75,8,1,0.125,1,34,2
priority3,binary,0.75,6,1,0.16666666666666666,1,26,6
priority4,binary,0.75,5,1,0.2,1,22,16
priority5,binary,0.75,4,1,0.25,1,18,1
priority6,binary,0.75,8,1,0.125,1,34,2
priority7,binary,0.75,5,1,0.2,1,22,1
priority8,binary,0.75,7,1,0.14285714285714285,1,30,4
priority9,binary,0.75,8,2,0.25,0,17,3
dropped_part1,binary,1.0,3,0,0,0,7,3
dropped_part10,binary,1.0,5,0,0,0,1,23
dropped_part2,binary,1.0,2,0,0,0,4,1
dropped_part3,binary,1.0,4,0,0,0,7,7
dropped_part4,binary,1.0,4,0,0,0,0,18
dropped_part5,binary,1.0,4,0,0,0,1,5
dropped_part6,binary,1.0,3,0,0,0,1,2
dropped_part7,binary,1.0,2,0,0,0,4,2
dropped_part8,binary,1.0,3,0,0,0,1,5
dropped_part9,binary,1.0,8,2,0.25,0,4,30
faulty_part1,binary,1.0,2,0,0,0,7,33
faulty_part10,binary,1.0,3,0,0,0,9,3
faulty_part2,binary,1.0,3,0,0,0,7,8
faulty_part3,binary,1.0,4,0,0,0,4,4
faulty_part4,binary,1.0,4,0,0,0,10,7
faulty_part5,binary,1.0,4,0,0,0,10,2
faulty_part6,binary,1.0,4,0,0,0,10,9
faulty_part7,binary,1.0,2,0,0,0,1,2
faulty_part8,binary,1.0,2,0,0,0,4,4
faulty_part9,binary,1.0,2,0,0,0,5,2
mix_challenges1,binary,1.0,3,0,0,0,1,22
mix_challenges10,binary,1.0,3,1,0.333333333333,0,4,2
mix_challenges2,binary,1.0,3,0,0,0,1,3
mix_challenges3,binary,1.0,3,0,0,0,1,10
mix_challenges4,binary,1.0,3,0,0,0,1,2
mix_challenges5,binary,1.0,3,0,0,0,4,6
mix_challenges6,binary,1.0,3,0,0,0,0,86
mix_challenges7,binary,1.0,3,0,0,0,0,81
mix_challenges8,binary,1.0,5,1,0.2,0,1,5
mix_challenges9,binary,1.0,4,0,0,0,0,66
normal1,binary,1.0,3,0,0.0,1,13,1
normal10,binary,1.0,4,0,0.0,1,18,2
normal2,binary,1.0,3,0,0.0,1,13,1
normal3,binary,1.0,3,0,0.0,1,13,2
normal4,binary,1.0,4,0,0.0,1,17,1
normal5,binary,1.0,2,0,0.0,1,9,1
normal6,binary,1.0,3,0,0.0,1,13,1
normal7,binary,1.0,2,0,0.0,1,9,1
normal8,binary,1.0,2,0,0.0,1,9,1
normal9,binary,1.0,8,0,0.0,1,34,25
priority1,binary,1.0,3,1,0.3333333333333333,0,9,1
priority10,binary,1.0,6,0,0.0,1,26,3
priority2,binary,1.0,8,0,0.0,1,34,2
priority3,binary,1.0,6,0,0.0,1,26,4
priority4,binary,1.0,5,0,0.0,1,22,6
priority5,binary,1.0,4,0,0.0,1,18,1
priority6,binary,1.0,8,0,0.0,1,34,2
priority7,binary,1.0,5,0,0.0,1,22,1
priority8,binary,1.0,7,0,0.0,1,30,5
priority9,binary,1.0,8,1,0.125,1,34,2
