config,order_id,epsilon,seed,completion,score,max_score,inspect_sum,wall_time_s
V_full,normal4,0.25,0,1,17,17,1,179.32846
V_full,normal5,0.25,0,1,9,9,1,144.143788
V_full,normal6,0.25,0,1,13,13,1,168.506258
V_full,normal7,0.25,0,1,9,9,1,144.719059
V_full,normal8,0.25,0,1,9,9,1,168.878836
V_full,normal9,0.25,0,0,17,34,3,900.0
V_full,normal10,0.25,0,1,18,18,1,265.367912
V_full,priority1,0.25,0,1,14,14,1,262.463315
V_full,priority2,0.25,0,1,34,34,2,257.267784
V_full,priority3,0.25,0,1,26,26,1,249.587066
V_full,priority4,0.25,0,1,22,22,1,402.686833
V_full,priority5,0.25,0,0,13,18,1,310.377161
V_full,priority6,0.25,0,1,34,34,3,369.243625
V_full,priority7,0.25,0,1,22,22,1,256.456508
V_full,priority8,0.25,0,1,30,30,2,508.205792
V_full,priority9,0.25,0,0,17,34,4,900.0
V_full,priority10,0.25,0,1,26,26,1,224.762335
V_full,faulty_part1,0.25,0,1,9,9,1,195.555299
V_full,faulty_part2,0.25,0,1,13,13,0,225.410864
V_full,faulty_part3,0.25,0,1,17,17,2,246.358325
V_full,faulty_part4,0.25,0,1,17,17,5,339.69714
V_full,faulty_part5,0.25,0,1,17,17,,336.0
V_full,faulty_part6,0.25,0,1,17,17,1,247.660447
V_full,faulty_part7,0.25,0,1,9,9,1,247.359309
V_full,faulty_part8,0.25,0,1,9,9,11,339.148252
V_full,faulty_part9,0.25,0,1,10,10,0,169.706791
V_full,faulty_part10,0.25,0,1,14,14,3,272.600196
V_full,mix_challenges1,0.25,0,1,13,13,5,349.28415
V_full,mix_challenges2,0.25,0,1,13,13,1,256.399645
V_full,mix_challenges3,0.25,0,1,13,13,8,380.485484
V_full,mix_challenges4,0.25,0,1,13,13,2,255.005222
V_full,mix_challenges5,0.25,0,1,13,13,1,281.306834
V_full,mix_challenges6,0.25,0,1,13,13,1,281.267823
V_full,mix_challenges7,0.25,0,1,14,14,3,285.158425
V_full,mix_challenges8,0.25,0,1,22,22,2,456.382691
V_full,mix_challenges9,0.25,0,1,18,18,5,482.248817
V_full,mix_challenges10,0.25,0,1,14,14,2,276.649563
V_full,dropped_part1,0.5,0,1,13,13,4,291.79522
V_full,dropped_part2,0.5,0,1,9,9,1,269.325981
V_full,dropped_part3,0.5,0,1,17,17,2,211.120763
V_full,dropped_part4,0.5,0,1,17,17,10,367.654213
V_full,dropped_part5,0.5,0,1,17,17,3,254.831405
V_full,dropped_part6,0.5,0,1,13,13,3,222.240578
V_full,dropped_part7,0.5,0,1,9,9,3,189.113192
V_full,dropped_part8,0.5,0,1,13,13,8,301.979455
V_full,dropped_part9,0.5,0,0,0,34,,900.0
V_full,dropped_part10,0.5,0,0,5,22,1,900.0
V_full,normal1,0.5,0,1,13,13,1,204.516707
V_full,normal2,0.5,0,1,13,13,4,195.234286
V_full,normal3,0.5,0,1,13,13,1,158.201706
V_full,normal4,0.5,0,1,17,17,1,181.644202
V_full,normal5,0.5,0,1,9,9,1,143.121512
V_full,normal6,0.5,0,1,13,13,1,162.377327
V_full,normal7,0.5,0,1,9,9,1,137.231004
V_full,normal8,0.5,0,1,9,9,1,149.933986
V_full,normal9,0.5,0,1,34,34,4,324.987837
V_full,normal10,0.5,0,1,18,18,2,251.08579
V_full,priority1,0.5,0,1,14,14,2,223.096326
V_full,priority2,0.5,0,1,34,34,5,277.140529
V_full,priority3,0.5,0,1,26,26,3,271.094578
V_full,priority4,0.5,0,1,22,22,1,258.846948
V_full,priority5,0.5,0,1,18,18,1,270.760365
V_full,priority6,0.5,0,1,34,34,2,344.28522
V_full,priority7,0.5,0,1,22,22,1,217.106002
V_full,priority8,0.5,0,0,17,30,5,900.0
V_full,priority9,0.5,0,1,34,34,3,320.705657
V_full,priority10,0.5,0,1,26,26,1,218.75314
V_full,faulty_part1,0.5,0,1,9,9,1,195.971082
V_full,faulty_part2,0.5,0,1,13,13,1,238.05226
V_full,faulty_part3,0.5,0,1,17,17,1,234.149457
V_full,faulty_part4,0.5,0,1,17,17,1,306.49359
V_full,faulty_part5,0.5,0,1,17,17,1,248.109539
V_full,faulty_part6,0.5,0,1,17,17,2,253.54466
V_full,faulty_part7,0.5,0,1,9,9,1,182.956729
V_full,faulty_part8,0.5,0,1,9,9,20,400.748578
V_full,faulty_part9,0.5,0,1,10,10,1,224.257512
V_full,faulty_part10,0.5,0,0,9,14,3,900.0
V_full,mix_challenges1,0.5,0,1,13,13,4,279.395999
V_full,mix_challenges2,0.5,0,1,13,13,0,230.617206
V_full,mix_challenges3,0.5,0,0,7,13,0,226.208458
V_full,mix_challenges4,0.5,0,1,13,13,11,310.628436
V_full,mix_challenges5,0.5,0,1,13,13,1,262.15217
V_full,mix_challenges6,0.5,0,1,13,13,1,271.305624
V_full,mix_challenges7,0.5,0,0,0,14,,900.0
V_full,mix_challenges8,0.5,0,0,1,22,1,900.0
V_full,mix_challenges9,0.5,0,0,0,18,,900.0
V_full,mix_challenges10,0.5,0,0,9,14,1,900.0
V_full,dropped_part1,0.75,0,1,13,13,2,269.288212
V_full,dropped_part2,0.75,0,1,9,9,1,228.971661
V_full,dropped_part3,0.75,0,1,17,17,4,226.871192
V_full,dropped_part4,0.75,0,1,17,17,18,453.449327
V_full,dropped_part5,0.75,0,1,17,17,3,254.791103
V_full,dropped_part6,0.75,0,1,13,13,2,196.852947
V_full,dropped_part7,0.75,0,0,4,9,2,150.190547
V_full,dropped_part8,0.75,0,1,13,13,6,332.024269
V_full,dropped_part9,0.75,0,1,34,34,3,381.660554
V_full,dropped_part10,0.75,0,0,5,22,3,900.0
V_full,normal1,0.75,0,1,13,13,1,229.993597
V_full,normal2,0.75,0,1,13,13,2,170.889346
V_full,normal3,0.75,0,1,13,13,2,471.878809
V_full,normal4,0.75,0,1,17,17,1,175.053083
V_full,normal5,0.75,0,1,9,9,1,149.087219
V_full,normal6,0.75,0,1,13,13,1,167.761894
V_full,normal7,0.75,0,1,9,9,1,139.846572
V_full,normal8,0.75,0,1,9,9,1,152.312499
V_full,normal9,0.75,0,0,0,34,,900.0
V_full,normal10,0.75,0,1,18,18,1,398.962289
V_full,priority1,0.75,0,1,14,14,1,182.233374
V_full,priority2,0.75,0,0,17,34,3,900.0
V_full,priority3,0.75,0,0,13,26,7,900.0
V_full,priority4,0.75,0,1,22,22,1,419.511455
V_full,priority5,0.75,0,1,18,18,1,377.278767
V_full,priority6,0.75,0,1,34,34,2,516.98753
V_full,priority7,0.75,0,1,22,22,1,277.347258
V_full,priority8,0.75,0,1,30,30,5,400.449932
V_full,priority9,0.75,0,1,34,34,2,279.286205
V_full,priority10,0.75,0,0,9,26,3,900.0
V_full,faulty_part1,0.75,0,1,9,9,1,195.50935
V_full,faulty_part2,0.75,0,1,13,13,1,252.632435
V_full,faulty_part3,0.75,0,1,17,17,1,244.137522
V_full,faulty_part4,0.75,0,1,17,17,5,349.751793
V_full,faulty_part5,0.75,0,1,17,17,3,289.981858
V_full,faulty_part6,0.75,0,1,17,17,2,248.872725
V_full,faulty_part7,0.75,0,1,9,9,1,188.381297
V_full,faulty_part8,0.75,0,1,9,9,14,346.024496
V_full,faulty_part9,0.75,0,1,10,10,1,253.08749
V_full,faulty_part10,0.75,0,1,14,14,3,286.261396
V_full,mix_challenges1,0.75,0,1,13,13,9,364.339522
V_full,mix_challenges2,0.75,0,1,13,13,1,231.533411
V_full,mix_challenges3,0.75,0,0,0,13,,900.0
V_full,mix_challenges4,0.75,0,1,13,13,3,261.543827
V_full,mix_challenges5,0.75,0,1,13,13,5,314.693307
V_full,mix_challenges6,0.75,0,1,13,13,5,367.90169
V_full,mix_challenges7,0.75,0,1,14,14,3,302.031332
V_full,mix_challenges8,0.75,0,1,22,22,6,443.02623
V_full,mix_challenges9,0.75,0,0,0,18,,900.0
V_full,mix_challenges10,0.75,0,1,14,14,1,216.636886
V_full,dropped_part1,1.0,0,1,13,13,2,200.059861
V_full,dropped_part2,1.0,0,1,9,9,1,205.754924
V_full,dropped_part3,1.0,0,1,17,17,5,282.632714
V_full,dropped_part4,1.0,0,1,17,17,11,352.871181
V_full,dropped_part5,1.0,0,1,17,17,5,287.407268
V_full,dropped_part6,1.0,0,1,13,13,2,202.562114
V_full,dropped_part7,1.0,0,1,9,9,4,186.395089
V_full,dropped_part8,1.0,0,1,13,13,8,324.756483
V_full,dropped_part9,1.0,0,1,34,34,8,571.342192
V_full,dropped_part10,1.0,0,0,0,22,,900.0
V_full,normal1,1.0,0,1,13,13,1,209.313859
V_full,normal2,1.0,0,1,13,13,1,222.807973
V_full,normal3,1.0,0,1,13,13,1,169.994401
V_full,normal4,1.0,0,1,17,17,1,172.479051
V_full,normal5,1.0,0,1,9,9,1,146.686104
V_full,normal6,1.0,0,1,13,13,1,164.618123
V_full,normal7,1.0,0,1,9,9,1,175.428847
V_full,normal8,1.0,0,1,9,9,1,149.066504
V_full,normal9,1.0,0,1,34,34,5,298.002004
V_full,normal10,1.0,0,1,18,18,1,374.574964
V_full,priority1,1.0,0,1,14,14,2,244.860684
V_full,priority2,1.0,0,1,34,34,2,372.128298
V_full,priority3,1.0,0,0,0,26,,900.0
V_full,priority4,1.0,0,1,22,22,1,384.142009
V_full,priority5,1.0,0,1,18,18,1,427.310727
V_full,priority6,1.0,0,0,0,34,,900.0
V_full,priority7,1.0,0,1,22,22,1,388.453685
V_full,priority8,1.0,0,0,0,30,,900.0
V_full,priority9,1.0,0,1,34,34,3,299.550616
V_full,priority10,1.0,0,0,0,26,,900.0
V_full,faulty_part1,1.0,0,1,9,9,1,192.938269
V_full,faulty_part2,1.0,0,1,13,13,1,249.657016
V_full,faulty_part3,1.0,0,1,17,17,2,266.743823
V_full,faulty_part4,1.0,0,1,17,17,3,285.744526
V_full,faulty_part5,1.0,0,1,17,17,5,297.845284
V_full,faulty_part6,1.0,0,1,17,17,4,270.37211
V_full,faulty_part7,1.0,0,1,9,9,1,199.973501
V_full,faulty_part8,1.0,0,1,9,9,14,369.095638
V_full,faulty_part9,1.0,0,1,10,10,1,349.771729
V_full,faulty_part10,1.0,0,1,14,14,3,347.136305
V_full,mix_challenges1,1.0,0,1,13,13,6,341.183863
V_full,mix_challenges2,1.0,0,1,13,13,6,304.905433
V_full,mix_challenges3,1.0,0,1,13,13,10,363.895311
V_full,mix_challenges4,1.0,0,1,13,13,2,288.987622
V_full,mix_challenges5,1.0,0,1,13,13,2,290.437725
V_full,mix_challenges6,1.0,0,1,13,13,2,302.581325
V_full,mix_challenges7,1.0,0,0,0,14,3,900.0
V_full,mix_challenges8,1.0,0,1,22,22,1,413.14786
V_full,mix_challenges9,1.0,0,0,0,18,,900.0
V_full,mix_challenges10,1.0,0,0,4,14,2,900.0
V_binary,dropped_part1,0.0,0,1,13,13,6,420
V_binary,dropped_part2,0.0,0,0,1,9,2,257
V_binary,dropped_part3,0.0,0,0,4,17,6,343
V_binary,dropped_part4,0.0,0,0,10,17,5,353
V_binary,dropped_part5,0.0,0,0,1,17,5,383
V_binary,dropped_part6,0.0,0,0,1,13,4,375
V_binary,dropped_part7,0.0,0,0,4,9,3,346
V_binary,dropped_part8,0.0,0,0,4,13,6,297
V_binary,dropped_part9,0.0,0,0,0,34,33,900
V_binary,dropped_part10,0.0,0,0,1,22,17,900
V_binary,normal1,0.0,0,1,13,13,,294.0
V_binary,normal2,0.0,0,1,13,13,,304.0
V_binary,normal3,0.0,0,1,13,13,,173.0
V_binary,normal4,0.0,0,1,17,17,,216.0
V_binary,normal5,0.0,0,1,9,9,,137.0
V_binary,normal6,0.0,0,1,13,13,,299.0
V_binary,normal7,0.0,0,1,9,9,,150.0
V_binary,normal8,0.0,0,1,9,9,,141.0
V_binary,normal9,0.0,0,1,34,34,,458.0
V_binary,normal10,0.0,0,1,18,18,,281.0
V_binary,priority1,0.0,0,1,14,14,,306.0
V_binary,priority2,0.0,0,1,34,34,,383.0
V_binary,priority3,0.0,0,1,26,26,,353.0
V_binary,priority4,0.0,0,1,22,22,,385.0
V_binary,priority5,0.0,0,1,18,18,,283.0
V_binary,priority6,0.0,0,1,34,34,,380.0
V_binary,priority7,0.0,0,1,22,22,,272.0
V_binary,priority8,0.0,0,1,30,30,,410.0
V_binary,priority9,0.0,0,1,34,34,,416.0
V_binary,priority10,0.0,0,1,26,26,,400.0
V_binary,faulty_part1,0.0,0,0,4,9,3,286
V_binary,faulty_part2,0.0,0,0,4,13,4,349
V_binary,faulty_part3,0.0,0,0,4,17,4,327
V_binary,faulty_part4,0.0,0,0,4,17,4,309
V_binary,faulty_part5,0.0,0,0,10,17,3,343
V_binary,faulty_part6,0.0,0,0,4,17,2,293
V_binary,faulty_part7,0.0,0,0,0,9,62,900
V_binary,faulty_part8,0.0,0,0,4,9,3,272
V_binary,faulty_part9,0.0,0,0,5,10,2,900
V_binary,faulty_part10,0.0,0,0,9,14,4,900
V_binary,mix_challenges1,0.0,0,0,0,13,76,900
V_binary,mix_challenges2,0.0,0,0,1,13,13,473
V_binary,mix_challenges3,0.0,0,0,1,13,14,487
V_binary,mix_challenges4,0.0,0,0,1,13,6,284
V_binary,mix_challenges5,0.0,0,0,4,13,8,345
V_binary,mix_challenges6,0.0,0,0,0,13,92,900
V_binary,mix_challenges7,0.0,0,0,1,14,4,900
V_binary,mix_challenges8,0.0,0,0,1,22,5,900
V_binary,mix_challenges9,0.0,0,0,0,18,72,900
V_binary,mix_challenges10,0.0,0,0,1,14,5,900
V_binary,dropped_part1,0.25,0,0,7,13,4,343
V_binary,dropped_part2,0.25,0,1,9,9,55,870
V_binary,dropped_part3,0.25,0,0,1,17,1,209
V_binary,dropped_part4,0.25,0,0,1,17,1,265
V_binary,dropped_part5,0.25,0,0,1,17,2,319
V_binary,dropped_part6,0.25,0,0,7,13,3,370
V_binary,dropped_part7,0.25,0,0,0,9,10,558
V_binary,dropped_part8,0.25,0,0,4,13,4,308
V_binary,dropped_part9,0.25,0,0,7,34,38,900
V_binary,dropped_part10,0.25,0,0,1,22,33,900
V_binary,normal1,0.25,0,1,13,13,1,260.032566
V_binary,normal2,0.25,0,1,13,13,1,166.336429
V_binary,normal3,0.25,0,1,13,13,1,165.49487
V_binary,normal4,0.25,0,1,17,17,1,183.015621
V_binary,normal5,0.25,0,1,9,9,1,201.103646
V_binary,normal6,0.25,0,1,13,13,1,174.29141
V_binary,normal7,0.25,0,1,9,9,1,162.361474
V_binary,normal8,0.25,0,1,9,9,1,205.616095
V_binary,normal9,0.25,0,1,34,34,2,332.951057
V_binary,normal10,0.25,0,1,18,18,2,225.670772
V_binary,priority1,0.25,0,1,14,14,1,200.335225
V_binary,priority2,0.25,0,1,34,34,6,330.125985
V_binary,priority3,0.25,0,1,26,26,1,242.368771
V_binary,priority4,0.25,0,0,13,22,9,900.0
V_binary,priority5,0.25,0,1,18,18,1,285.334504
V_binary,priority6,0.25,0,1,34,34,3,373.009495
V_binary,priority7,0.25,0,1,22,22,1,235.200213
V_binary,priority8,0.25,0,0,0,30,,900.0
V_binary,priority9,0.25,0,1,34,34,4,349.086016
V_binary,priority10,0.25,0,1,26,26,3,268.131951
V_binary,faulty_part1,0.25,0,0,4,9,5,357
V_binary,faulty_part2,0.25,0,0,1,13,6,369
V_binary,faulty_part3,0.25,0,0,0,17,71,900
V_binary,faulty_part4,0.25,0,0,0,17,57,900
V_binary,faulty_part5,0.25,0,0,0,17,47,900
V_binary,faulty_part6,0.25,0,0,10,17,2,313
V_binary,faulty_part7,0.25,0,0,1,9,7,395
V_binary,faulty_part8,0.25,0,0,4,9,10,322
V_binary,faulty_part9,0.25,0,0,5,10,5,900
V_binary,faulty_part10,0.25,0,0,10,14,2,336
V_binary,mix_challenges1,0.25,0,0,0,13,83,900
V_binary,mix_challenges2,0.25,0,0,7,13,15,545
V_binary,mix_challenges3,0.25,0,0,1,13,25,637
V_binary,mix_challenges4,0.25,0,0,1,13,5,249
V_binary,mix_challenges5,0.25,0,0,1,13,1,227
V_binary,mix_challenges6,0.25,0,0,0,13,90,900
V_binary,mix_challenges7,0.25,0,0,1,14,6,900
V_binary,mix_challenges8,0.25,0,0,1,22,4,900
V_binary,mix_challenges9,0.25,0,0,1,18,3,900
V_binary,mix_challenges10,0.25,0,0,4,14,3,900
V_binary,dropped_part1,0.5,0,0,4,13,5,289
V_binary,dropped_part2,0.5,0,0,4,9,1,276
V_binary,dropped_part3,0.5,0,0,4,17,6,318
V_binary,dropped_part4,0.5,0,0,10,17,20,836
V_binary,dropped_part5,0.5,0,0,4,17,1,331
V_binary,dropped_part6,0.5,0,0,0,13,25,900
V_binary,dropped_part7,0.5,0,0,4,9,9,446
V_binary,dropped_part8,0.5,0,0,1,13,4,269
V_binary,dropped_part9,0.5,0,0,4,34,3,900
V_binary,dropped_part10,0.5,0,0,5,22,17,900
V_binary,normal1,0.5,0,1,13,13,1,247.127262
V_binary,normal2,0.5,0,1,13,13,1,185.037622
V_binary,normal3,0.5,0,1,13,13,3,392.282341
V_binary,normal4,0.5,0,1,17,17,1,260.082012
V_binary,normal5,0.5,0,1,9,9,1,176.448893
V_binary,normal6,0.5,0,1,13,13,1,211.569482
V_binary,normal7,0.5,0,1,9,9,1,152.70382
V_binary,normal8,0.5,0,1,9,9,1,169.178704
V_binary,normal9,0.5,0,1,34,34,12,452.26153
V_binary,normal10,0.5,0,1,18,18,1,229.686711
V_binary,priority1,0.5,0,1,14,14,0,260.062879
V_binary,priority2,0.5,0,0,4,34,10,900.0
V_binary,priority3,0.5,0,1,26,26,4,311.084711
V_binary,priority4,0.5,0,1,22,22,1,265.404984
V_binary,priority5,0.5,0,1,18,18,1,272.408351
V_binary,priority6,0.5,0,0,17,34,3,397.732816
V_binary,priority7,0.5,0,1,22,22,1,220.728531
V_binary,priority8,0.5,0,1,30,30,3,321.752637
V_binary,priority9,0.5,0,0,27,34,2,324.466971
V_binary,priority10,0.5,0,1,26,26,4,289.094474
V_binary,faulty_part1,0.5,0,0,4,9,5,333
V_binary,faulty_part2,0.5,0,0,0,13,73,900
V_binary,faulty_part3,0.5,0,0,10,17,7,412
V_binary,faulty_part4,0.5,0,0,0,17,65,900
V_binary,faulty_part5,0.5,0,0,4,17,4,335
V_binary,faulty_part6,0.5,0,0,10,17,9,527
V_binary,faulty_part7,0.5,0,0,0,9,76,900
V_binary,faulty_part8,0.5,0,0,4,9,4,266
V_binary,faulty_part9,0.5,0,0,5,10,1,900
V_binary,faulty_part10,0.5,0,0,9,14,2,900
V_binary,mix_challenges1,0.5,0,0,1,13,20,625
V_binary,mix_challenges2,0.5,0,0,1,13,6,317
V_binary,mix_challenges3,0.5,0,0,1,13,12,384
V_binary,mix_challenges4,0.5,0,0,1,13,12,322
V_binary,mix_challenges5,0.5,0,0,4,13,4,281
V_binary,mix_challenges6,0.5,0,0,0,13,95,900
V_binary,mix_challenges7,0.5,0,0,5,14,9,900
V_binary,mix_challenges8,0.5,0,0,1,22,8,900
V_binary,mix_challenges9,0.5,0,0,1,18,5,900
V_binary,mix_challenges10,0.5,0,0,4,14,8,900
V_binary,dropped_part1,0.75,0,0,7,13,7,336
V_binary,dropped_part2,0.75,0,0,4,9,2,300
V_binary,dropped_part3,0.75,0,0,10,17,5,336
V_binary,dropped_part4,0.75,0,0,4,17,2,338
V_binary,dropped_part5,0.75,0,0,1,17,2,301
V_binary,dropped_part6,0.75,0,0,0,13,25,900
V_binary,dropped_part7,0.75,0,0,4,9,7,363
V_binary,dropped_part8,0.75,0,0,1,13,6,309
V_binary,dropped_part9,0.75,0,0,0,34,28,900
V_binary,dropped_part10,0.75,0,0,5,22,7,900
V_binary,normal1,0.75,0,1,13,13,1,204.444897
V_binary,normal2,0.75,0,1,13,13,1,291.375056
V_binary,normal3,0.75,0,1,13,13,1,243.65782
V_binary,normal4,0.75,0,1,17,17,1,262.480251
V_binary,normal5,0.75,0,1,9,9,1,156.028418
V_binary,normal6,0.75,0,1,13,13,3,300.460733
V_binary,normal7,0.75,0,1,9,9,1,195.095109
V_binary,normal8,0.75,0,1,9,9,1,210.854327
V_binary,normal9,0.75,0,1,34,34,8,347.055119
V_binary,normal10,0.75,0,1,18,18,3,260.734084
V_binary,priority1,0.75,0,1,14,14,1,180.309707
V_binary,priority2,0.75,0,1,34,34,2,420.144725
V_binary,priority3,0.75,0,1,26,26,3,300.433147
V_binary,priority4,0.75,0,1,22,22,12,420.846676
V_binary,priority5,0.75,0,1,18,18,1,304.636856
V_binary,priority6,0.75,0,1,34,34,2,356.535194
V_binary,priority7,0.75,0,1,22,22,1,255.290452
V_binary,priority8,0.75,0,1,30,30,4,335.312739
V_binary,priority9,0.75,0,0,17,34,3,900.0
V_binary,priority10,0.75,0,1,26,26,2,246.119854
V_binary,faulty_part1,0.75,0,0,4,9,1,256
V_binary,faulty_part2,0.75,0,0,7,13,10,459
V_binary,faulty_part3,0.75,0,0,4,17,5,323
V_binary,faulty_part4,0.75,0,0,0,17,58,900
V_binary,faulty_part5,0.75,0,0,10,17,3,350
V_binary,faulty_part6,0.75,0,0,10,17,8,444
V_binary,faulty_part7,0.75,0,0,4,9,3,305
V_binary,faulty_part8,0.75,0,0,4,9,8,362
V_binary,faulty_part9,0.75,0,0,5,10,4,900
V_binary,faulty_part10,0.75,0,0,10,14,5,377
V_binary,mix_challenges1,0.75,0,0,0,13,80,900
V_binary,mix_challenges2,0.75,0,0,1,13,9,422
V_binary,mix_challenges3,0.75,0,0,0,13,59,900
V_binary,mix_challenges4,0.75,0,0,4,13,28,635
V_binary,mix_challenges5,0.75,0,0,4,13,3,262
V_binary,mix_challenges6,0.75,0,0,0,13,85,900
V_binary,mix_challenges7,0.75,0,0,1,14,3,900
V_binary,mix_challenges8,0.75,0,0,1,22,1,900
V_binary,mix_challenges9,0.75,0,0,0,18,71,900
V_binary,mix_challenges10,0.75,0,0,4,14,5,900
V_binary,dropped_part1,1.0,0,0,7,13,3,380
V_binary,dropped_part2,1.0,0,0,4,9,1,255
V_binary,dropped_part3,1.0,0,0,7,17,7,412
V_binary,dropped_part4,1.0,0,0,0,17,18,900
V_binary,dropped_part5,1.0,0,0,1,17,5,426
V_binary,dropped_part6,1.0,0,0,1,13,2,265
V_binary,dropped_part7,1.0,0,0,4,9,2,254
V_binary,dropped_part8,1.0,0,0,1,13,5,292
V_binary,dropped_part9,1.0,0,0,4,34,30,900
V_binary,dropped_part10,1.0,0,0,1,22,23,900
V_binary,normal1,1.0,0,1,13,13,1,252.280814
V_binary,normal2,1.0,0,1,13,13,1,224.87009
V_binary,normal3,1.0,0,1,13,13,2,264.258374
V_binary,normal4,1.0,0,1,17,17,1,242.174235
V_binary,normal5,1.0,0,1,9,9,1,164.923813
V_binary,normal6,1.0,0,1,13,13,1,246.271361
V_binary,normal7,1.0,0,1,9,9,1,144.181241
V_binary,normal8,1.0,0,1,9,9,1,270.979366
V_binary,normal9,1.0,0,1,34,34,25,575.008226
V_binary,normal10,1.0,0,1,18,18,2,236.291082
V_binary,priority1,1.0,0,0,9,14,1,241.680105
V_binary,priority2,1.0,0,1,34,34,1,236.854927
V_binary,priority3,1.0,0,1,26,26,4,373.110344
V_binary,priority4,1.0,0,1,22,22,5,317.327891
V_binary,priority5,1.0,0,1,18,18,1,308.369281
V_binary,priority6,1.0,0,1,34,34,2,380.416878
V_binary,priority7,1.0,0,1,22,22,1,236.181488
V_binary,priority8,1.0,0,1,30,30,5,340.334165
V_binary,priority9,1.0,0,1,34,34,2,251.693749
V_binary,priority10,1.0,0,1,26,26,1,239.599101
V_binary,faulty_part1,1.0,0,0,7,9,33,674
V_binary,faulty_part2,1.0,0,0,7,13,8,448
V_binary,faulty_part3,1.0,0,0,4,17,4,300
V_binary,faulty_part4,1.0,0,0,10,17,7,426
V_binary,faulty_part5,1.0,0,0,10,17,2,343
V_binary,faulty_part6,1.0,0,0,10,17,9,476
V_binary,faulty_part7,1.0,0,0,1,9,2,259
V_binary,faulty_part8,1.0,0,0,4,9,4,275
V_binary,faulty_part9,1.0,0,0,5,10,2,900
V_binary,faulty_part10,1.0,0,0,9,14,3,900
V_binary,mix_challenges1,1.0,0,0,1,13,22,605
V_binary,mix_challenges2,1.0,0,0,1,13,3,247
