action,experiment,model,verifier_config,trial,epsilon,budget_s,target_budget_s,status,reason,source,run_dir
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges4,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges5,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,mix_challenges6,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal1,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal2,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal3,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal4,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal5,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal6,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal7,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_missing_metrics,natural_gpt52_nominal,gpt-5.2-2025-12-11,V_full,normal8,0.0,unknown,900,submitted,outcome exists but admissibility and inspect_sum are not episode-linked,API.xlsx,
rerun_timeout,epsilon_vbinary_gpt52,gpt-5.2-2025-12-11,V_binary,priority4,0.25,900,900,timeout,paired V_binary rerun exhausted the unified 900-second budget,internal://结果/Vbinary_sweep_per_order.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_eps_after2000_20260712_204345/from_normal8/v_binary/gpt-5p2-2025-12-11_priority4_eps_0p25_seed_0
rerun_timeout,epsilon_vbinary_gpt52,gpt-5.2-2025-12-11,V_binary,priority8,0.25,900,900,timeout,paired V_binary rerun exhausted the unified 900-second budget,internal://结果/Vbinary_sweep_per_order.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_eps_after2000_20260712_204345/from_normal8/v_binary/gpt-5p2-2025-12-11_priority8_eps_0p25_seed_0
rerun_timeout,epsilon_vbinary_gpt52,gpt-5.2-2025-12-11,V_binary,priority2,0.5,900,900,timeout,paired V_binary rerun exhausted the unified 900-second budget,internal://结果/Vbinary_sweep_per_order.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_eps_after2000_20260712_204345/from_normal8/v_binary/gpt-5p2-2025-12-11_priority2_eps_0p5_seed_0
rerun_timeout,epsilon_vbinary_gpt52,gpt-5.2-2025-12-11,V_binary,priority9,0.75,900,900,timeout,paired V_binary rerun exhausted the unified 900-second budget,internal://结果/Vbinary_sweep_per_order.csv,internal://competition_tutorials/experiment_results/verifier_ablation_runs/vbinary_eps_after2000_20260712_204345/from_normal8/v_binary/gpt-5p2-2025-12-11_priority9_eps_0p75_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,dropped_part9,0.5,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps0p5/gpt-5p2-2025-12-11_dropped_part9_eps_0p5_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,mix_challenges9,0.5,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps0p5/gpt-5p2-2025-12-11_mix_challenges9_eps_0p5_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,mix_challenges3,0.75,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/launch_node_rerun_20260707_222852_eps0p75/gpt-5p2-2025-12-11_mix_challenges3_eps_0p75_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,mix_challenges9,0.75,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps0p75/gpt-5p2-2025-12-11_mix_challenges9_eps_0p75_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,normal9,0.75,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps0p75/gpt-5p2-2025-12-11_normal9_eps_0p75_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,priority2,0.75,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps0p75/gpt-5p2-2025-12-11_priority2_eps_0p75_seed_0
rerun_timeout,epsilon_vfull_gpt52,gpt-5.2-2025-12-11,V_full,priority8,1.0,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/gpt52_replace_qwen_copied_double_eps1p0/gpt-5p2-2025-12-11_priority8_eps_1p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,dropped_part10,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_dropped_part10_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,dropped_part4,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_dropped_part4_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,dropped_part5,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_dropped_part5_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,dropped_part9,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_dropped_part9_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,faulty_part10,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_faulty_part10_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,faulty_part3,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_faulty_part3_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,faulty_part8,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_faulty_part8_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,mix_challenges10,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_mix_challenges10_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,mix_challenges6,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_mix_challenges6_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,mix_challenges8,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_mix_challenges8_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,normal4,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_normal4_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,normal9,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_normal9_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,priority2,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_priority2_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,priority4,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_priority4_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,priority7,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_priority7_eps_0p0_seed_0
rerun_timeout,natural_glm47_nominal,glm-4.7,V_full,priority9,0.0,900,900,timeout,weak-proposer rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/glm_weak_llm_trials.csv,internal://competition_tutorials/experiment_results/glm_weak_llm_ariac/all_trials_glm47_20260621_174829/glm-4p7_priority9_eps_0p0_seed_0
rerun_timeout,natural_qwen_nominal,qwen3-max,V_full,dropped_part9,0.0,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/qwen3_max_full50_eps0_double_order_rerun_20260705_150534/qwen3-max_dropped_part9_eps_0p0_seed_0
rerun_timeout,natural_qwen_nominal,qwen3-max,V_full,priority1,0.0,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/qwen3_max_full50_eps0_double_order_rerun_20260705_150534/qwen3-max_priority1_eps_0p0_seed_0
rerun_timeout,natural_qwen_nominal,qwen3-max,V_full,priority2,0.0,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/qwen3_max_full50_eps0_double_order_rerun_20260705_150534/qwen3-max_priority2_eps_0p0_seed_0
rerun_timeout,natural_qwen_nominal,qwen3-max,V_full,priority9,0.0,900,900,timeout,formal rerun exhausted the unified 900-second budget,internal://competition_tutorials/protocol_repair_report/plot_data/six_method_300_trials_timeout800_merge.csv,internal://competition_tutorials/experiment_results/epsilon_sweep_runs/qwen3_max_full50_eps0_double_order_rerun_20260705_150534/qwen3-max_priority9_eps_0p0_seed_0
