task_id,material,size_group_target_mm,initial_inner_mm,target_shaft_mm,t_needed_c,world_seed,human_proposal_temp_c,human_pass,human_rvr,human_n_heat,human_n_inspect,human_actions,human_final_temp_c,human_total_cost,llm_proposal_temp_c,llm_pass,llm_rvr,llm_n_heat,llm_n_inspect,llm_actions,llm_final_temp_c,llm_total_cost,llm_reflow_proposal_temp_c,llm_reflow_pass,llm_reflow_rvr,llm_reflow_n_heat,llm_reflow_n_inspect,llm_reflow_actions,llm_reflow_final_temp_c,llm_reflow_total_cost,pomdp_no_reflow_proposal_temp_c,pomdp_no_reflow_pass,pomdp_no_reflow_rvr,pomdp_no_reflow_n_heat,pomdp_no_reflow_n_inspect,pomdp_no_reflow_actions,pomdp_no_reflow_final_temp_c,pomdp_no_reflow_total_cost,pomdp_reflow_proposal_temp_c,pomdp_reflow_pass,pomdp_reflow_rvr,pomdp_reflow_n_heat,pomdp_reflow_n_inspect,pomdp_reflow_actions,pomdp_reflow_final_temp_c,pomdp_reflow_total_cost
碳素钢-220-067,碳素钢,220.0,219.27,220.0,335.4325694208835,204730672,345,0,1,0,0,ASSEMBLE,345,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,311,1,0,12,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,371,140.5,381,1,0,0,1,INSPECT ASSEMBLE,381,75.5
碳素钢-220-068,碳素钢,220.0,219.23,220.0,347.60776918332357,204730682,360,1,0,0,0,ASSEMBLE,360,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,311,1,0,10,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,361,120.5,381,1,0,0,1,INSPECT ASSEMBLE,381,70.5
碳素钢-220-069,碳素钢,220.0,219.29,220.0,314.8411288368541,204730692,335,1,0,0,0,ASSEMBLE,335,55.0,317,0,1,0,0,ASSEMBLE,317,50.0,351,1,0,0,0,ASSEMBLE,351,63.0,317,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,382,153.5,381,1,0,0,1,INSPECT ASSEMBLE,381,88.0
碳素钢-220-070,碳素钢,220.0,219.32,220.0,314.7476678451558,204730702,325,1,0,0,0,ASSEMBLE,325,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,1,0,0,0,ASSEMBLE,351,63.0,311,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,326,75.5,381,1,0,0,1,INSPECT ASSEMBLE,381,88.0
碳素钢-220-071,碳素钢,220.0,219.32,220.0,311.16151187258464,204730712,325,1,0,0,0,ASSEMBLE,325,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,1,0,0,0,ASSEMBLE,351,63.0,311,1,0,21,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,416,220.5,386,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,391,98.0
碳素钢-220-072,碳素钢,220.0,219.22,220.0,349.7320253509382,204730722,365,1,0,0,0,ASSEMBLE,365,52.5,311,0,1,0,0,ASSEMBLE,311,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,311,1,0,19,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,406,188.0,386,1,0,2,1,INSPECT HEAT_5 HEAT_5 ASSEMBLE,396,88.0
碳素钢-220-073,碳素钢,220.0,219.21,220.0,360.64633543689615,204730732,370,0,1,0,0,ASSEMBLE,370,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,311,1,0,14,3,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,381,153.0,386,1,0,0,1,INSPECT ASSEMBLE,386,65.5
碳素钢-220-074,碳素钢,220.0,219.25,220.0,336.9657680887112,204730742,350,1,0,0,0,ASSEMBLE,350,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,1,0,0,0,ASSEMBLE,351,50.5,311,1,0,19,3,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,406,203.0,386,1,0,0,1,INSPECT ASSEMBLE,386,78.0
碳素钢-220-075,碳素钢,220.0,219.34,220.0,306.88369685569774,204730752,315,0,1,0,0,ASSEMBLE,315,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,1,0,0,0,ASSEMBLE,351,65.5,311,1,0,19,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,406,208.0,386,1,0,0,1,INSPECT ASSEMBLE,386,93.0
碳素钢-220-076,碳素钢,220.0,219.19,220.0,365.0828949864605,204730762,375,0,1,0,0,ASSEMBLE,375,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,351,0,1,0,0,ASSEMBLE,351,50.0,311,1,0,24,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,431,215.5,386,1,0,1,2,INSPECT HEAT_5 INSPECT ASSEMBLE,391,80.5
铜合金-180-000,铜合金,180.0,179.15,180.0,324.0601618309369,781170000,340,1,0,0,0,ASSEMBLE,340,52.5,311,0,1,0,0,ASSEMBLE,311,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,311,1,0,7,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,346,120.5,311,1,0,12,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,371,148.0
铜合金-180-001,铜合金,180.0,179.11,180.0,341.8690183801854,781170010,355,1,0,0,0,ASSEMBLE,355,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,19,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,412,193.5,317,1,0,11,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,372,133.5
铜合金-180-002,铜合金,180.0,179.24,180.0,296.2765088700846,781170020,310,1,0,0,0,ASSEMBLE,310,50.0,296,0,1,0,0,ASSEMBLE,296,50.0,317,1,0,0,0,ASSEMBLE,317,53.5,296,1,0,10,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,346,138.0,296,1,0,17,3,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,381,200.5
铜合金-180-003,铜合金,180.0,179.13,180.0,324.7070315019165,781170030,345,1,0,0,0,ASSEMBLE,345,55.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,20,1,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,417,201.0,366,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,371,83.0
铜合金-180-004,铜合金,180.0,179.26,180.0,286.3290695206551,781170040,300,1,0,0,0,ASSEMBLE,300,50.0,296,0,1,0,0,ASSEMBLE,296,50.0,317,1,0,0,0,ASSEMBLE,317,58.5,296,1,0,3,2,HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,311,90.5,317,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,372,151.0
铜合金-180-005,铜合金,180.0,179.24,180.0,296.12899038909126,781170050,310,1,0,0,0,ASSEMBLE,310,50.0,296,0,1,0,0,ASSEMBLE,296,50.0,317,1,0,0,0,ASSEMBLE,317,53.5,296,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,351,135.5,296,1,0,12,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,356,153.0
铜合金-180-006,铜合金,180.0,179.12,180.0,341.3843518912885,781170060,350,0,1,0,0,ASSEMBLE,350,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,311,1,0,16,4,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,391,188.0,366,1,0,0,1,INSPECT ASSEMBLE,366,65.5
铜合金-180-007,铜合金,180.0,179.22,180.0,303.0981571524981,781170070,315,1,0,0,0,ASSEMBLE,315,50.0,311,0,1,0,0,ASSEMBLE,311,50.0,317,1,0,0,0,ASSEMBLE,317,51.0,311,1,0,4,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,331,88.0,386,1,0,2,0,HEAT_5 HEAT_5 ASSEMBLE,396,100.5
铜合金-180-008,铜合金,180.0,179.11,180.0,345.0391857539664,781170080,355,0,1,0,0,ASSEMBLE,355,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,20,3,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,417,208.5,386,1,0,0,1,INSPECT ASSEMBLE,386,73.0
铜合金-180-009,铜合金,180.0,179.27,180.0,287.74034785282277,781170090,300,1,0,0,0,ASSEMBLE,300,50.0,317,1,0,0,0,ASSEMBLE,317,58.5,317,1,0,0,0,ASSEMBLE,317,58.5,317,1,0,0,1,INSPECT ASSEMBLE,317,68.5,386,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,396,118.0
铜合金-200-034,铜合金,200.0,199.15,200.0,300.8223562471733,781170341,310,0,1,0,0,ASSEMBLE,310,50.0,317,1,0,0,0,ASSEMBLE,317,51.0,317,1,0,0,0,ASSEMBLE,317,51.0,317,1,0,3,2,HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,332,93.5,317,1,0,2,2,INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,327,86.0
铜合金-200-035,铜合金,200.0,199.1,200.0,316.9193693002698,781170351,325,0,1,0,0,ASSEMBLE,325,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,8,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,357,123.5,317,1,0,10,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,367,138.5
铜合金-200-036,铜合金,200.0,199.11,200.0,311.3331664171251,781170361,325,1,0,0,0,ASSEMBLE,325,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,21,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,422,223.5,342,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,352,83.5
铜合金-200-037,铜合金,200.0,199.0,200.0,345.15999632951076,781170371,355,0,1,0,0,ASSEMBLE,355,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,11,4,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,372,151.0,317,1,0,11,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,372,141.0
铜合金-200-038,铜合金,200.0,199.08,200.0,330.9205428758221,781170381,330,0,1,0,0,ASSEMBLE,330,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,0,1,0,0,ASSEMBLE,317,50.0,317,1,0,10,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,367,131.0,387,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,397,96.0
