task_id,material,size_group_target_mm,initial_inner_mm,target_shaft_mm,t_needed_c,world_seed,eps_0p25_proposal_temp_c,eps_0p25_pass,eps_0p25_rvr,eps_0p25_n_heat,eps_0p25_n_inspect,eps_0p25_actions,eps_0p25_final_temp_c,eps_0p25_total_cost,eps_0p50_proposal_temp_c,eps_0p50_pass,eps_0p50_rvr,eps_0p50_n_heat,eps_0p50_n_inspect,eps_0p50_actions,eps_0p50_final_temp_c,eps_0p50_total_cost,eps_0p75_proposal_temp_c,eps_0p75_pass,eps_0p75_rvr,eps_0p75_n_heat,eps_0p75_n_inspect,eps_0p75_actions,eps_0p75_final_temp_c,eps_0p75_total_cost,eps_1p00_proposal_temp_c,eps_1p00_pass,eps_1p00_rvr,eps_1p00_n_heat,eps_1p00_n_inspect,eps_1p00_actions,eps_1p00_final_temp_c,eps_1p00_total_cost
碳素钢-200-034,碳素钢,200.0,199.34,200.0,339.2160813295016,204730341,333,1,0,18,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 ASSEMBLE,423,196.5,323,1,0,20,3,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,423,216.5,308,1,0,15,4,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,383,181.5,340,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,395,137.5
碳素钢-200-035,碳素钢,200.0,199.44,200.0,289.1288163506308,204730351,277,1,0,10,3,HEAT_5 INSPECT HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,327,143.5,264,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,329,139.5,346,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,351,90.5,250,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,315,132.5
碳素钢-200-036,碳素钢,200.0,199.31,200.0,367.4470813851793,204730361,315,1,0,19,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,410,180.0,304,1,0,16,3,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,384,162.0,314,1,0,20,4,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,414,207.0,345,1,0,11,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,400,135.0
碳素钢-200-037,碳素钢,200.0,199.37,200.0,316.91808223902257,204730371,315,1,0,3,2,INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,330,85.0,359,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,374,97.0,346,1,0,0,1,INSPECT ASSEMBLE,346,68.0,345,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,375,112.5
碳素钢-200-038,碳素钢,200.0,199.29,200.0,354.7773461619911,204730381,315,1,0,23,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,430,207.5,304,1,0,15,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,379,152.0,346,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,376,95.5,325,1,0,16,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,405,170.0
碳素钢-200-039,碳素钢,200.0,199.32,200.0,334.21850728826195,204730391,315,1,0,13,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,380,142.5,349,1,0,2,2,INSPECT HEAT_5 HEAT_5 INSPECT ASSEMBLE,359,87.0,314,1,0,16,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,394,174.5,325,1,0,12,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,385,140.0
碳素钢-200-040,碳素钢,200.0,199.44,200.0,272.9987769773177,204730401,315,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,325,90.0,304,1,0,17,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,389,197.0,314,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,344,119.5,265,1,0,14,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,335,165.0
碳素钢-200-041,碳素钢,200.0,199.35,200.0,327.914741560593,204730411,315,1,0,9,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,360,135.0,349,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,359,79.5,346,1,0,10,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,396,148.0,325,1,0,12,2,HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,385,152.5
碳素钢-200-042,碳素钢,200.0,199.28,200.0,351.4380858376875,204730421,315,1,0,23,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,430,207.5,334,1,0,11,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,389,137.0,346,1,0,6,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,376,95.5,335,1,0,19,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,430,197.5
碳素钢-200-043,碳素钢,200.0,199.4,200.0,308.93152933996123,204730431,315,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,370,140.0,304,1,0,13,3,INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,369,169.5,314,1,0,12,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,374,147.0,325,1,0,4,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,345,102.5
碳素钢-220-067,碳素钢,220.0,219.27,220.0,335.4325694208835,204730672,333,1,0,18,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 ASSEMBLE,423,196.5,350,1,0,5,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,375,97.5,338,1,0,6,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,368,109.0,295,1,0,21,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,400,200.0
碳素钢-220-068,碳素钢,220.0,219.23,220.0,347.60776918332357,204730682,411,1,0,0,1,INSPECT ASSEMBLE,411,85.5,350,1,0,4,3,HEAT_5 INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 INSPECT ASSEMBLE,370,105.0,338,1,0,11,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,393,141.5,335,1,0,7,3,INSPECT HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,370,120.0
碳素钢-220-069,碳素钢,220.0,219.29,220.0,314.8411288368541,204730692,411,1,0,0,0,ASSEMBLE,411,93.0,351,1,0,0,1,INSPECT ASSEMBLE,351,73.0,339,1,0,4,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,359,97.0,335,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,345,80.0
碳素钢-220-070,碳素钢,220.0,219.32,220.0,314.7476678451558,204730702,411,1,0,0,0,ASSEMBLE,411,93.0,346,1,0,2,2,HEAT_5 INSPECT HEAT_5 INSPECT ASSEMBLE,356,95.5,337,1,0,0,1,INSPECT ASSEMBLE,337,66.0,325,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,380,142.5
碳素钢-220-071,碳素钢,220.0,219.32,220.0,311.16151187258464,204730712,399,1,0,0,0,ASSEMBLE,399,87.0,331,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,341,78.0,300,1,0,10,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,350,132.5,330,1,0,1,2,INSPECT HEAT_5 INSPECT ASSEMBLE,335,80.0
碳素钢-220-072,碳素钢,220.0,219.22,220.0,349.7320253509382,204730722,399,1,0,0,1,INSPECT ASSEMBLE,399,79.5,331,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,128.0,331,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,386,128.0,325,1,0,19,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,420,195.0
碳素钢-220-073,碳素钢,220.0,219.21,220.0,360.64633543689615,204730732,399,1,0,0,1,INSPECT ASSEMBLE,399,72.0,362,1,0,10,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,412,138.5,337,1,0,16,2,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,417,171.0,325,1,0,12,2,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,385,135.0
碳素钢-220-074,碳素钢,220.0,219.25,220.0,336.9657680887112,204730742,399,1,0,2,1,HEAT_5 HEAT_5 INSPECT ASSEMBLE,409,99.5,351,1,0,15,1,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 ASSEMBLE,426,173.0,344,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,359,79.5,335,1,0,11,1,HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,390,135.0
碳素钢-220-075,碳素钢,220.0,219.34,220.0,306.88369685569774,204730752,399,1,0,0,0,ASSEMBLE,399,89.5,356,1,0,1,1,HEAT_5 INSPECT ASSEMBLE,361,85.5,339,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,354,92.0,335,1,0,3,1,HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,350,90.0
碳素钢-220-076,碳素钢,220.0,219.19,220.0,365.0828949864605,204730762,399,1,0,0,0,ASSEMBLE,399,59.5,356,1,0,10,2,HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,406,133.0,346,1,0,15,3,INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,421,175.5,340,1,0,16,2,HEAT_5 HEAT_5 INSPECT HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 HEAT_5 INSPECT ASSEMBLE,420,170.0
